City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,fort st. john,56.2499,-120.8529,16.94,20,75,8.75,CA,1746064430
350,fort bragg,35.139,-79.006,26.85,64,0,3.6,US,1746064698
351,saint-joseph,-21.3667,55.6167,24.21,74,83,7.52,RE,1746064699
352,port blair,11.6667,92.75,26.02,94,75,1.03,IN,1746064681
353,salym,60.0625,71.4789,6.91,70,100,5.2,RU,1746064702
354,khanty-mansiysk,61.0042,69.0019,6.06,70,40,5.0,RU,1746064703
355,lautoka,-17.6167,177.4667,31.92,58,20,4.12,FJ,1746064704
356,cadale,2.7603,46.3222,28.31,75,78,4.36,SO,1746064706
357,le portel,50.7056,1.5757,11.83,86,2,2.91,FR,1746064707
358,roma,43.2128,-75.4557,6.08,73,0,2.06,US,1746064622
359,st. john's,47.5649,-52.7093,3.42,93,100,10.29,CA,1746064709
360,dalby,-27.1833,151.2667,22.45,42,0,3.2,AU,1746064710
361,ust'-kulom,61.6864,53.6902,-5.33,87,26,3.04,RU,1746064711
362,phang nga,8.4509,98.5298,29.61,76,99,0.65,TH,1746064712
363,plunge,55.9114,21.8442,3.52,84,54,3.42,LT,1746064713
